  sid  | stid |   name    |  reading   | evaluation 
  7034 |   23 | rateus-pl |   27367.22 |      38966
  7035 |   23 | rateus-pl |   11384.78 |      23433
  7036 |   23 | rateus-pl |    8539.78 |      32622
  7039 |   23 | rateus-pl |    6812.44 |      30742
  7040 |   23 | rateus-pl |    8236.00 |      26861
  7041 |   23 | rateus-pl |   12720.22 |      32930
  7042 |   23 | rateus-pl |    4146.44 |      43795
  7043 |   23 | rateus-pl |   10165.56 |      74928
  7044 |   23 | rateus-pl |    5419.44 |      25185
  7045 |   23 | rateus-pl |    9448.33 |      43920
  7046 |   23 | rateus-pl |   13605.56 |      28120
  7047 |   23 | rateus-pl |    8152.56 |      40442
  7048 |   23 | rateus-pl |    9290.22 |      37992
  7050 |   23 | rateus-pl |   11416.22 |      15327
  7051 |   23 | rateus-pl |   14302.89 |      36616
  7052 |   23 | rateus-pl |    7484.00 |      19216
  7053 |   23 | rateus-pl |   13640.11 |      24314
  7054 |   23 | rateus-pl |   14385.00 |      25636
  7055 |   23 | rateus-pl |   10476.00 |      20047
  7056 |   23 | rateus-pl |     832.78 |      32504
  7057 |   23 | rateus-pl |   28006.22 |     146708
  7058 |   23 | rateus-pl |    8581.33 |      26570
  7059 |   23 | rateus-pl |   10287.89 |      29354
  7060 |   23 | rateus-pl |    3317.67 |      13897
  7061 |   23 | rateus-pl |    1963.11 |      10606
  7062 |   23 | rateus-pl |   12047.56 |      27701
  7063 |   23 | rateus-pl |   14870.56 |      24068
  7064 |   23 | rateus-pl |     508.44 |      17598
  7065 |   23 | rateus-pl |    7212.44 |      18504
  7066 |   23 | rateus-pl |   25679.44 |     152925
  7067 |   23 | rateus-pl |   12841.33 |      23021
  7068 |   23 | rateus-pl |   11005.78 |      27051
  7069 |   23 | rateus-pl |    1010.44 |      10071
  7070 |   23 | rateus-pl |   12646.78 |      38551
  7072 |   23 | rateus-pl |   10303.22 |      22138
  7073 |   23 | rateus-pl |   14365.78 |      24296
  7074 |   23 | rateus-pl |   17246.89 |      40345
  7075 |   23 | rateus-pl |   24292.44 |      83227
  7076 |   23 | rateus-pl |  120788.89 |      35437
  7077 |   23 | rateus-pl |   16143.89 |      83326
  7078 |   23 | rateus-pl |   13972.56 |      18920
  7079 |   23 | rateus-pl |    7089.33 |      58073
  7081 |   23 | rateus-pl |   12312.67 |      34357
  7082 |   23 | rateus-pl |    7997.22 |       8549
  7083 |   23 | rateus-pl |   11775.89 |      86399
  7084 |   23 | rateus-pl |   19905.44 |      11555
  7085 |   23 | rateus-pl |    7118.89 |      23267
  7087 |   23 | rateus-pl |   10105.00 |      31719
  7088 |   23 | rateus-pl |    7794.44 |      32347
  7089 |   23 | rateus-pl |   15253.22 |      61879
  7090 |   23 | rateus-pl |    9126.56 |      13844
  7091 |   23 | rateus-pl |    6402.00 |      24124
  7093 |   23 | rateus-pl |    6638.22 |      21491
  7094 |   23 | rateus-pl |    9956.33 |      15214
  7095 |   23 | rateus-pl |    3145.00 |     151063
  7096 |   23 | rateus-pl |    9241.56 |      22839
  7097 |   23 | rateus-pl |   11064.67 |      18617
  7098 |   23 | rateus-pl |    7190.22 |      19537
  7100 |   23 | rateus-pl |   18784.56 |      48800
  7101 |   23 | rateus-pl |    9249.00 |      17047
  7102 |   23 | rateus-pl |   13870.11 |      36376
  7103 |   23 | rateus-pl |   14144.44 |      46881
  7105 |   23 | rateus-pl |   14613.78 |      62804
  7106 |   23 | rateus-pl |   11219.78 |      39352
  7107 |   23 | rateus-pl |   15790.33 |      55840
  7108 |   23 | rateus-pl |   13520.56 |      15234
  7109 |   23 | rateus-pl |   13885.67 |      46221
  7110 |   23 | rateus-pl |   10247.44 |      20189
  7111 |   23 | rateus-pl |    9030.44 |      16305
  7112 |   23 | rateus-pl |    1559.56 |       6713
  7113 |   23 | rateus-pl |    1830.22 |      38924
  7115 |   23 | rateus-pl |   18993.67 |      26935
  7116 |   23 | rateus-pl |    5104.22 |      37767
  7117 |   23 | rateus-pl |   20390.56 |      60286
  7118 |   23 | rateus-pl |    9318.44 |      24969
  7119 |   23 | rateus-pl |    2751.67 |      24132
  7120 |   23 | rateus-pl |    8185.22 |      30949
  7121 |   23 | rateus-pl |   25213.67 |      49432
  7122 |   23 | rateus-pl |   10471.22 |      23080
  7123 |   23 | rateus-pl |    8882.44 |      29817
  7124 |   23 | rateus-pl |   11360.44 |      42914
  7125 |   23 | rateus-pl |   18873.89 |      35047
  7126 |   23 | rateus-pl |    8256.33 |      17178
  7128 |   23 | rateus-pl |     990.11 |      14344
  7129 |   23 | rateus-pl |     580.22 |       6867
  7130 |   23 | rateus-pl |   12205.56 |      16898
  7131 |   23 | rateus-pl |    8587.22 |      37644
  7132 |   23 | rateus-pl |   21826.00 |      30167
  7133 |   23 | rateus-pl |   20967.89 |      19138
  7134 |   23 | rateus-pl |    4119.00 |      17987
  7135 |   23 | rateus-pl |   11251.89 |      35733
  7136 |   23 | rateus-pl |   12416.44 |      48644
  7138 |   23 | rateus-pl |   17705.22 |      50567
  7139 |   23 | rateus-pl |   11118.89 |      43904
  7140 |   23 | rateus-pl |   10422.56 |      25331
  7141 |   23 | rateus-pl |   13865.44 |      34397
  7142 |   23 | rateus-pl |    7532.22 |      21811
  7143 |   23 | rateus-pl |    9465.89 |      41324
  7144 |   23 | rateus-pl |    8847.89 |      22119
  7145 |   23 | rateus-pl |   12318.22 |      21812
  7146 |   23 | rateus-pl |   12173.89 |      17925
  7147 |   23 | rateus-pl |   11884.56 |      23346
  7148 |   23 | rateus-pl |   11896.33 |      39008
  7149 |   23 | rateus-pl |   11774.67 |      17344
  7151 |   23 | rateus-pl |   22495.56 |      49643
  7152 |   23 | rateus-pl |    9823.67 |      46418
  7153 |   23 | rateus-pl |   12697.33 |      43076
  7154 |   23 | rateus-pl |   83433.22 |      60451
  7155 |   23 | rateus-pl |    8953.67 |      18649
  7156 |   23 | rateus-pl |   10438.00 |      18834
  7158 |   23 | rateus-pl |    9364.56 |      14851
  7159 |   23 | rateus-pl |   18863.11 |      92445
  7165 |   23 | rateus-pl |    9375.33 |      86516
  7166 |   23 | rateus-pl |   12247.67 |      18367
  7168 |   23 | rateus-pl |   15712.11 |      37207
  7169 |   23 | rateus-pl |    2898.22 |       8277
  7170 |   23 | rateus-pl |   12955.00 |      21371
  7172 |   23 | rateus-pl |    5973.00 |      33746
  7173 |   23 | rateus-pl |   17975.00 |      28814
  7174 |   23 | rateus-pl |   17600.11 |      49516
  7176 |   23 | rateus-pl |   10998.89 |      87702
  7177 |   23 | rateus-pl |   11534.56 |      46147
  7178 |   23 | rateus-pl |   10929.89 |      19492
  7179 |   23 | rateus-pl |   38547.67 |      11795
  7181 |   23 | rateus-pl |    3496.00 |      13112
  7183 |   23 | rateus-pl |   11165.11 |      24252
  7185 |   23 | rateus-pl |   13811.67 |      62830
  7186 |   23 | rateus-pl |   13730.44 |      18834
  7187 |   23 | rateus-pl |    1133.67 |      36241
  7189 |   23 | rateus-pl |    4119.89 |      31216
  7190 |   23 | rateus-pl |    7742.22 |      26241
  7192 |   23 | rateus-pl |    8835.33 |      16413
  7195 |   23 | rateus-pl |   16137.33 |      39218
  7197 |   23 | rateus-pl |   13378.44 |      30079
  7198 |   23 | rateus-pl |   12244.00 |      35291
  7200 |   23 | rateus-pl |    9492.00 |      49138
  7201 |   23 | rateus-pl |   16846.78 |      34224
  7203 |   23 | rateus-pl |   10823.78 |      41485
  7204 |   23 | rateus-pl |   12602.00 |      21435
  7205 |   23 | rateus-pl |   19137.56 |      40138
  7206 |   23 | rateus-pl |  154082.78 |      13764
  7207 |   23 | rateus-pl |   15192.56 |      43800
  7209 |   23 | rateus-pl |    8711.56 |      24422
  7212 |   23 | rateus-pl |   13991.22 |     141094
  7213 |   23 | rateus-pl |   12773.44 |      29246
  7214 |   23 | rateus-pl |   16293.78 |      40490
  7217 |   23 | rateus-pl |     787.11 |      10871
  7218 |   23 | rateus-pl |   33815.44 |      34944
  7219 |   23 | rateus-pl |   10039.00 |      45647
  7220 |   23 | rateus-pl |   12298.56 |      27482
  7221 |   23 | rateus-pl |    4546.00 |      14944
  7224 |   23 | rateus-pl |    3598.89 |      15356
  7225 |   23 | rateus-pl |   12046.67 |      31829
  7228 |   23 | rateus-pl |    5830.89 |      36811
  7229 |   23 | rateus-pl |   30391.78 |     103952
  7231 |   23 | rateus-pl |    9757.44 |      14287
  7233 |   23 | rateus-pl |   13509.78 |      40695
  7234 |   23 | rateus-pl |   14880.44 |      19802
  7236 |   23 | rateus-pl |    4956.78 |      23265
  7238 |   23 | rateus-pl |   18098.89 |      18925
  7239 |   23 | rateus-pl |    7680.89 |      27179
  7240 |   23 | rateus-pl |   12281.33 |      18496
  7244 |   23 | rateus-pl |   24781.78 |      69341
  7245 |   23 | rateus-pl |   13519.67 |      14521
  7247 |   23 | rateus-pl |   30177.56 |      15514
  7248 |   23 | rateus-pl |   11794.00 |      13056
  7250 |   23 | rateus-pl |   10775.33 |      26359
  7251 |   23 | rateus-pl |    8196.67 |      39426
  7253 |   23 | rateus-pl |    5599.11 |      26505
  7254 |   23 | rateus-pl |    6630.78 |      10977
  7255 |   23 | rateus-pl |    9653.89 |      24188
  7259 |   23 | rateus-pl |   10613.00 |      21133
  7260 |   23 | rateus-pl |   11533.56 |      27203
  7261 |   23 | rateus-pl |   22610.33 |      20762
  7264 |   23 | rateus-pl |    8563.67 |      27592
  7265 |   23 | rateus-pl |    6381.89 |      14235
  7266 |   23 | rateus-pl |   10851.78 |      42798
  7269 |   23 | rateus-pl |    5030.11 |      25554
  7271 |   23 | rateus-pl |   14001.56 |      23160
  7272 |   23 | rateus-pl |    9657.56 |      63087
  7274 |   23 | rateus-pl |   16564.00 |      69997
  7275 |   23 | rateus-pl |   12019.78 |      52803
  7278 |   23 | rateus-pl |   36877.67 |      27792
  7279 |   23 | rateus-pl |   19265.11 |      18842
  7280 |   23 | rateus-pl |   13584.56 |      32850
  7281 |   23 | rateus-pl |   11419.67 |      34878
  7282 |   23 | rateus-pl |   26668.11 |      37404
  7283 |   23 | rateus-pl |   17352.56 |      23883
  7285 |   23 | rateus-pl |   15773.44 |      88581
  7286 |   23 | rateus-pl |   34222.44 |      42242
  7287 |   23 | rateus-pl |   10988.44 |      23852
  7288 |   23 | rateus-pl |   13519.22 |      47101
  7289 |   23 | rateus-pl |    9225.33 |      22905
  7290 |   23 | rateus-pl |    8837.33 |      16258
  7291 |   23 | rateus-pl |    8259.78 |      93994
  7292 |   23 | rateus-pl |   33808.11 |      12260
  7293 |   23 | rateus-pl |    9032.00 |      24178
  7295 |   23 | rateus-pl |   10461.44 |      47014
  7296 |   23 | rateus-pl |   17916.67 |      48517
  7298 |   23 | rateus-pl |     735.78 |       6028
  7299 |   23 | rateus-pl |   24635.44 |      23231
  7300 |   23 | rateus-pl |   15695.11 |      26538
  7302 |   23 | rateus-pl |   13399.78 |      31714
  7303 |   23 | rateus-pl |    9722.78 |      28773
  7304 |   23 | rateus-pl |   12425.89 |      14433
  7305 |   23 | rateus-pl |    3518.89 |      15934
  7306 |   23 | rateus-pl |   18077.56 |      24681
  7308 |   23 | rateus-pl |    9405.67 |      28545
  7310 |   23 | rateus-pl |    7897.44 |      43840
  7311 |   23 | rateus-pl |    1302.44 |      39068
  7312 |   23 | rateus-pl |   24957.00 |      25484
  7314 |   23 | rateus-pl |   11926.56 |      64663
  7315 |   23 | rateus-pl |   15680.33 |      37481
  7316 |   23 | rateus-pl |    7951.00 |      20896
  7317 |   23 | rateus-pl |   12196.67 |      19444
  7319 |   23 | rateus-pl |    2597.33 |      44085
  7320 |   23 | rateus-pl |    8674.44 |      20008
  7321 |   23 | rateus-pl |   45490.89 |      52377
  7322 |   23 | rateus-pl |    8606.11 |      19774
  7323 |   23 | rateus-pl |   11591.56 |      16442
  7324 |   23 | rateus-pl |   10541.67 |      20456
  7326 |   23 | rateus-pl |    2344.44 |      11429
  7327 |   23 | rateus-pl |    1091.22 |       9826
  7328 |   23 | rateus-pl |   11908.56 |      19016
  7331 |   23 | rateus-pl |   27845.56 |      40334
  7332 |   23 | rateus-pl |   13663.56 |      21188
  7333 |   23 | rateus-pl |   13656.67 |      33473
  7334 |   23 | rateus-pl |   13273.78 |     125218
  7336 |   23 | rateus-pl |    1393.56 |      13640
  7337 |   23 | rateus-pl |   15441.11 |      70815
  7339 |   23 | rateus-pl |    5295.22 |      13507
  7341 |   23 | rateus-pl |   15338.11 |      18695
  7342 |   23 | rateus-pl |    2093.78 |      14130
  7344 |   23 | rateus-pl |    3852.22 |      16027
  7345 |   23 | rateus-pl |    9814.78 |      22585
  7346 |   23 | rateus-pl |   50063.00 |     139642
  7347 |   23 | rateus-pl |    7183.56 |      23142
  7348 |   23 | rateus-pl |   10493.22 |      19746
  7349 |   23 | rateus-pl |    9036.11 |      31113
  7350 |   23 | rateus-pl |    5198.33 |      19665
  7351 |   23 | rateus-pl |   12564.67 |      18718
  7352 |   23 | rateus-pl |   20547.33 |     122517
  7354 |   23 | rateus-pl |   15993.00 |      99216
  7355 |   23 | rateus-pl |   11206.11 |      20899
  7357 |   23 | rateus-pl |    8220.33 |      12501
  7361 |   23 | rateus-pl |   15585.22 |      29093
  7362 |   23 | rateus-pl |   15704.89 |      26721
  7363 |   23 | rateus-pl |   17717.44 |      53041
  7365 |   23 | rateus-pl |   21117.78 |      25772
  7366 |   23 | rateus-pl |    9956.78 |      11282
  7367 |   23 | rateus-pl |   39708.44 |      26609
  7368 |   23 | rateus-pl |   10698.11 |      30993
  7370 |   23 | rateus-pl |   12356.00 |      21495
  7371 |   23 | rateus-pl |    9040.11 |      17346
  7372 |   23 | rateus-pl |    9054.11 |      23389
  7373 |   23 | rateus-pl |    9426.00 |      48830
  7374 |   23 | rateus-pl |    8681.67 |      34433
  7375 |   23 | rateus-pl |    8852.00 |      35290
  7376 |   23 | rateus-pl |    1806.44 |      10360
  7378 |   23 | rateus-pl |    1662.00 |       8598
  7379 |   23 | rateus-pl |   11282.67 |      32489
  7380 |   23 | rateus-pl |   21235.22 |      23970
  7381 |   23 | rateus-pl |    6147.44 |       8284
  7382 |   23 | rateus-pl |   16583.67 |      58753
  7383 |   23 | rateus-pl |   12785.22 |      66894
  7384 |   23 | rateus-pl |    1566.56 |      14099
  7385 |   23 | rateus-pl |    8976.11 |      20235
  7386 |   23 | rateus-pl |   16729.44 |      25473
  7387 |   23 | rateus-pl |   12145.11 |      66461
  7388 |   23 | rateus-pl |   14260.56 |      89147
  7390 |   23 | rateus-pl |   12031.78 |      33122
  7391 |   23 | rateus-pl |   17991.89 |      45386
  7392 |   23 | rateus-pl |   15446.78 |      18309
  7393 |   23 | rateus-pl |   13790.78 |      74343
  7394 |   23 | rateus-pl |   22362.33 |      52196
  7395 |   23 | rateus-pl |    9340.11 |      32312
  7396 |   23 | rateus-pl |   13260.89 |      21464
  7397 |   23 | rateus-pl |     768.22 |      18608
  7398 |   23 | rateus-pl |   16457.33 |      27204
  7399 |   23 | rateus-pl |   18920.44 |      53438
  7400 |   23 | rateus-pl |    9729.67 |      15058
  7401 |   23 | rateus-pl |    3571.78 |      15994
  7402 |   23 | rateus-pl |    4963.67 |      19312
  7403 |   23 | rateus-pl |   12990.56 |      26035
  7404 |   23 | rateus-pl |   39591.56 |       6326
  7405 |   23 | rateus-pl |   15442.44 |      23289
  7406 |   23 | rateus-pl |    8222.00 |      12680
  7407 |   23 | rateus-pl |   12692.00 |      37771
  7409 |   23 | rateus-pl |    8263.22 |      22805
  7410 |   23 | rateus-pl |   11841.00 |      45216
