  sid  | stid | category 
  7195 |   23 | COM
  7197 |   23 | NEU
  7198 |   23 | ANG
  7200 |   23 | COM
  7201 |   23 | HOP
  7203 |   23 | ANG
  7204 |   23 | COM
  7205 |   23 | HOP
  7206 |   23 | ANG
  7207 |   23 | NEU
  7209 |   23 | ANG
  7212 |   23 | COM
  7213 |   23 | HOP
  7214 |   23 | NEU
  7217 |   23 | COM
  7218 |   23 | HOP
  7219 |   23 | NEU
  7220 |   23 | COM
  7221 |   23 | HOP
  7224 |   23 | ANG
  7225 |   23 | COM
  7228 |   23 | NEU
  7229 |   23 | ANG
  7231 |   23 | COM
  7233 |   23 | HOP
  7234 |   23 | ANG
  7236 |   23 | COM
  7238 |   23 | HOP
  7239 |   23 | NEU
  7240 |   23 | ANG
  7244 |   23 | NEU
  7245 |   23 | ANG
  7247 |   23 | COM
  7248 |   23 | HOP
  7250 |   23 | NEU
  7251 |   23 | ANG
  7253 |   23 | COM
  7254 |   23 | HOP
  7255 |   23 | NEU
  7259 |   23 | COM
  7260 |   23 | HOP
  7261 |   23 | NEU
  7264 |   23 | ANG
  7265 |   23 | COM
  7266 |   23 | HOP
  7269 |   23 | NEU
  7271 |   23 | COM
  7272 |   23 | ANG
  7274 |   23 | ANG
  7275 |   23 | COM
  7278 |   23 | HOP
  7279 |   23 | COM
  7280 |   23 | HOP
  7281 |   23 | NEU
  7282 |   23 | NEU
  7283 |   23 | ANG
  7285 |   23 | NEU
  7286 |   23 | HOP
  7287 |   23 | HOP
  7288 |   23 | HOP
  7289 |   23 | HOP
  7290 |   23 | NEU
  7291 |   23 | NEU
  7292 |   23 | COM
  7293 |   23 | ANG
  7295 |   23 | ANG
  7296 |   23 | ANG
  7298 |   23 | NEU
  7299 |   23 | COM
  7300 |   23 | COM
  7302 |   23 | NEU
  7303 |   23 | NEU
  7304 |   23 | HOP
  7305 |   23 | HOP
  7306 |   23 | COM
  7308 |   23 | ANG
  7310 |   23 | NEU
  7311 |   23 | ANG
  7312 |   23 | ANG
  7314 |   23 | HOP
  7315 |   23 | HOP
  7316 |   23 | NEU
  7317 |   23 | ANG
  7319 |   23 | COM
  7320 |   23 | NEU
  7321 |   23 | ANG
  7322 |   23 | COM
  7323 |   23 | HOP
  7324 |   23 | NEU
  7326 |   23 | COM
  7327 |   23 | HOP
  7328 |   23 | ANG
  7331 |   23 | COM
  7332 |   23 | COM
  7333 |   23 | NEU
  7334 |   23 | HOP
  7336 |   23 | NEU
  7337 |   23 | NEU
  7339 |   23 | ANG
  7341 |   23 | HOP
  7342 |   23 | COM
  7344 |   23 | HOP
  7345 |   23 | ANG
  7346 |   23 | ANG
  7347 |   23 | COM
  7348 |   23 | NEU
  7349 |   23 | ANG
  7350 |   23 | ANG
  7351 |   23 | COM
  7352 |   23 | HOP
  7354 |   23 | NEU
  7355 |   23 | HOP
  7357 |   23 | NEU
  7361 |   23 | NEU
  7362 |   23 | COM
  7363 |   23 | COM
  7365 |   23 | HOP
  7366 |   23 | ANG
  7367 |   23 | HOP
  7368 |   23 | HOP
  7370 |   23 | NEU
  7371 |   23 | NEU
  7372 |   23 | ANG
  7373 |   23 | ANG
  7374 |   23 | COM
  7375 |   23 | COM
  7376 |   23 | HOP
  7378 |   23 | NEU
  7379 |   23 | ANG
  7380 |   23 | COM
  7381 |   23 | ANG
  7382 |   23 | HOP
  7383 |   23 | NEU
  7384 |   23 | HOP
  7385 |   23 | NEU
  7386 |   23 | COM
  7387 |   23 | COM
  7388 |   23 | ANG
  7390 |   23 | HOP
  7391 |   23 | NEU
  7392 |   23 | HOP
  7393 |   23 | ANG
  7394 |   23 | ANG
  7395 |   23 | ANG
  7396 |   23 | NEU
  7397 |   23 | COM
  7398 |   23 | NEU
  7399 |   23 | HOP
  7400 |   23 | COM
  7401 |   23 | COM
  7402 |   23 | COM
  7403 |   23 | HOP
  7404 |   23 | HOP
  7405 |   23 | NEU
  7406 |   23 | ANG
  7407 |   23 | NEU
  7409 |   23 | ANG
  7410 |   23 | ANG
  7413 |   23 | HOP
  7414 |   23 | NEU
  7415 |   23 | NEU
  7416 |   23 | NEU
  7417 |   23 | HOP
  7418 |   23 | NEU
  7420 |   23 | COM
  7421 |   23 | HOP
  7424 |   23 | COM
  7425 |   23 | ANG
  7426 |   23 | ANG
  7427 |   23 | COM
  7429 |   23 | COM
  7430 |   23 | HOP
  7433 |   23 | NEU
  7434 |   23 | ANG
  7435 |   23 | ANG
  7436 |   23 | ANG
  7437 |   23 | COM
  7438 |   23 | COM
  7439 |   23 | COM
  7440 |   23 | HOP
  7441 |   23 | COM
  7442 |   23 | NEU
  7443 |   23 | HOP
  7444 |   23 | HOP
  7445 |   23 | HOP
  7446 |   23 | ANG
  7447 |   23 | NEU
  7448 |   23 | NEU
  7449 |   23 | ANG
  7450 |   23 | NEU
  7451 |   23 | COM
  7452 |   23 | NEU
  7454 |   23 | COM
  7455 |   23 | COM
  7458 |   23 | HOP
  7459 |   23 | ANG
  7460 |   23 | HOP
  7461 |   23 | NEU
  7462 |   23 | NEU
  7464 |   23 | HOP
  7467 |   23 | ANG
  7468 |   23 | COM
  7469 |   23 | COM
  7470 |   23 | NEU
  7471 |   23 | COM
  7472 |   23 | COM
  7473 |   23 | HOP
  7474 |   23 | HOP
  7475 |   23 | NEU
  7479 |   23 | NEU
  7480 |   23 | ANG
  7481 |   23 | ANG
  7482 |   23 | ANG
  7486 |   23 | HOP
  7488 |   23 | NEU
  7490 |   23 | HOP
  7492 |   23 | HOP
  7493 |   23 | ANG
  7494 |   23 | ANG
  7496 |   23 | COM
  7497 |   23 | HOP
  7498 |   23 | COM
  7499 |   23 | COM
  7501 |   23 | ANG
  7502 |   23 | ANG
  7503 |   23 | NEU
  7504 |   23 | HOP
  7506 |   23 | NEU
  7507 |   23 | COM
  7509 |   23 | COM
  7512 |   23 | NEU
  7513 |   23 | ANG
  7514 |   23 | HOP
  7515 |   23 | NEU
  7516 |   23 | NEU
  7519 |   23 | COM
  7520 |   23 | HOP
  7521 |   23 | ANG
  7522 |   23 | COM
  7523 |   23 | COM
  7526 |   23 | HOP
  7531 |   23 | NEU
  7532 |   23 | ANG
  7533 |   23 | HOP
  7535 |   23 | NEU
  7539 |   23 | COM
  7540 |   23 | NEU
  7541 |   23 | ANG
  7542 |   23 | ANG
  7545 |   23 | COM
  7546 |   23 | HOP
  7547 |   23 | NEU
