sid,stid,name,ord,opt
7006,23,donation-aim-pl,0,2
7006,23,donation-aim-pl,1,2
7007,23,donation-aim-pl,0,0
7007,23,donation-aim-pl,1,2
7008,23,donation-aim-pl,0,2
7008,23,donation-aim-pl,1,1
7009,23,donation-aim-pl,0,0
7009,23,donation-aim-pl,1,1
7010,23,donation-aim-pl,0,1
7010,23,donation-aim-pl,1,1
7011,23,donation-aim-pl,0,1
7011,23,donation-aim-pl,1,2
7012,23,donation-aim-pl,0,0
7012,23,donation-aim-pl,1,1
7015,23,donation-aim-pl,0,1
7015,23,donation-aim-pl,1,2
7016,23,donation-aim-pl,0,1
7016,23,donation-aim-pl,1,3
7017,23,donation-aim-pl,0,1
7017,23,donation-aim-pl,1,1
7018,23,donation-aim-pl,0,1
7018,23,donation-aim-pl,1,2
7019,23,donation-aim-pl,0,0
7019,23,donation-aim-pl,1,0
7020,23,donation-aim-pl,0,1
7020,23,donation-aim-pl,1,2
7021,23,donation-aim-pl,0,2
7021,23,donation-aim-pl,1,0
7022,23,donation-aim-pl,0,2
7022,23,donation-aim-pl,1,2
7023,23,donation-aim-pl,0,0
7023,23,donation-aim-pl,1,1
7024,23,donation-aim-pl,0,1
7024,23,donation-aim-pl,1,2
7025,23,donation-aim-pl,0,2
7025,23,donation-aim-pl,1,3
7026,23,donation-aim-pl,0,0
7026,23,donation-aim-pl,1,1
7027,23,donation-aim-pl,0,1
7027,23,donation-aim-pl,1,1
7028,23,donation-aim-pl,0,0
7028,23,donation-aim-pl,1,1
7029,23,donation-aim-pl,0,0
7029,23,donation-aim-pl,1,0
7030,23,donation-aim-pl,0,1
7030,23,donation-aim-pl,1,0
7031,23,donation-aim-pl,0,1
7031,23,donation-aim-pl,1,0
7034,23,donation-aim-pl,0,2
7034,23,donation-aim-pl,1,3
7035,23,donation-aim-pl,0,1
7035,23,donation-aim-pl,1,0
7036,23,donation-aim-pl,0,1
7036,23,donation-aim-pl,1,2
7039,23,donation-aim-pl,0,1
7039,23,donation-aim-pl,1,1
7040,23,donation-aim-pl,0,2
7040,23,donation-aim-pl,1,2
7041,23,donation-aim-pl,0,1
7041,23,donation-aim-pl,1,2
7042,23,donation-aim-pl,0,0
7042,23,donation-aim-pl,1,2
7043,23,donation-aim-pl,0,0
7043,23,donation-aim-pl,1,1
7044,23,donation-aim-pl,0,1
7044,23,donation-aim-pl,1,2
7045,23,donation-aim-pl,0,1
7045,23,donation-aim-pl,1,1
7046,23,donation-aim-pl,0,0
7046,23,donation-aim-pl,1,2
7047,23,donation-aim-pl,0,3
7048,23,donation-aim-pl,0,1
7048,23,donation-aim-pl,1,2
7050,23,donation-aim-pl,0,1
7050,23,donation-aim-pl,1,2
7051,23,donation-aim-pl,0,1
7051,23,donation-aim-pl,1,2
7052,23,donation-aim-pl,0,0
7052,23,donation-aim-pl,1,2
7053,23,donation-aim-pl,0,0
7053,23,donation-aim-pl,1,2
7054,23,donation-aim-pl,0,0
7054,23,donation-aim-pl,1,1
7055,23,donation-aim-pl,0,3
7056,23,donation-aim-pl,0,2
7056,23,donation-aim-pl,1,0
7057,23,donation-aim-pl,0,1
7057,23,donation-aim-pl,1,2
7058,23,donation-aim-pl,0,0
7058,23,donation-aim-pl,1,2
7059,23,donation-aim-pl,0,1
7059,23,donation-aim-pl,1,1
7060,23,donation-aim-pl,0,1
7060,23,donation-aim-pl,1,2
7061,23,donation-aim-pl,0,2
7061,23,donation-aim-pl,1,1
7062,23,donation-aim-pl,0,0
7062,23,donation-aim-pl,1,2
7063,23,donation-aim-pl,0,1
7063,23,donation-aim-pl,1,2
7064,23,donation-aim-pl,0,1
7064,23,donation-aim-pl,1,2
7065,23,donation-aim-pl,0,1
7065,23,donation-aim-pl,1,2
