 sid  | stid |   name    | ord | part | opt 
 7374 |   23 | rateus-pl |   1 |    3 |  71
 7374 |   23 | rateus-pl |   1 |    4 |  73
 7375 |   23 | rateus-pl |   1 |    4 |   0
 7375 |   23 | rateus-pl |   1 |    0 |   1
 7375 |   23 | rateus-pl |   1 |    1 |  99
 7375 |   23 | rateus-pl |   1 |    3 |  99
 7375 |   23 | rateus-pl |   1 |    2 |  99
 7376 |   23 | rateus-pl |   2 |    2 |  31
 7376 |   23 | rateus-pl |   2 |    0 |  27
 7376 |   23 | rateus-pl |   2 |    1 |  22
 7376 |   23 | rateus-pl |   2 |    3 |  32
 7376 |   23 | rateus-pl |   2 |    4 |  34
 7378 |   23 | rateus-pl |   3 |    0 |  61
 7378 |   23 | rateus-pl |   3 |    1 |  30
 7378 |   23 | rateus-pl |   3 |    4 |  37
 7378 |   23 | rateus-pl |   3 |    3 |  50
 7378 |   23 | rateus-pl |   3 |    2 |  61
 7379 |   23 | rateus-pl |   0 |    2 |  84
 7379 |   23 | rateus-pl |   0 |    0 |   0
 7379 |   23 | rateus-pl |   0 |    1 |  87
 7379 |   23 | rateus-pl |   0 |    3 |  49
 7379 |   23 | rateus-pl |   0 |    4 |   0
 7380 |   23 | rateus-pl |   1 |    4 |   1
 7380 |   23 | rateus-pl |   1 |    0 |  14
 7380 |   23 | rateus-pl |   1 |    1 |  80
 7380 |   23 | rateus-pl |   1 |    2 |  88
 7380 |   23 | rateus-pl |   1 |    3 |  99
 7381 |   23 | rateus-pl |   0 |    3 |  38
 7381 |   23 | rateus-pl |   0 |    2 |  11
 7381 |   23 | rateus-pl |   0 |    1 |  35
 7381 |   23 | rateus-pl |   0 |    0 |  34
 7381 |   23 | rateus-pl |   0 |    4 |  50
 7382 |   23 | rateus-pl |   2 |    0 |  92
 7382 |   23 | rateus-pl |   2 |    1 |  60
 7382 |   23 | rateus-pl |   2 |    2 |   3
 7382 |   23 | rateus-pl |   2 |    3 |  14
 7382 |   23 | rateus-pl |   2 |    4 |  41
 7383 |   23 | rateus-pl |   3 |    4 |   0
 7383 |   23 | rateus-pl |   3 |    3 |   1
 7383 |   23 | rateus-pl |   3 |    2 |   0
 7383 |   23 | rateus-pl |   3 |    1 |   0
 7383 |   23 | rateus-pl |   3 |    0 |  64
 7384 |   23 | rateus-pl |   2 |    4 |  64
 7384 |   23 | rateus-pl |   2 |    3 |  32
 7384 |   23 | rateus-pl |   2 |    2 |  43
 7384 |   23 | rateus-pl |   2 |    1 |  39
 7384 |   23 | rateus-pl |   2 |    0 |  45
 7385 |   23 | rateus-pl |   3 |    4 |  65
 7385 |   23 | rateus-pl |   3 |    0 |  75
 7385 |   23 | rateus-pl |   3 |    1 |   8
 7385 |   23 | rateus-pl |   3 |    2 |   2
 7385 |   23 | rateus-pl |   3 |    3 |  13
 7386 |   23 | rateus-pl |   1 |    4 |   1
 7386 |   23 | rateus-pl |   1 |    0 |  19
 7386 |   23 | rateus-pl |   1 |    1 |  74
 7386 |   23 | rateus-pl |   1 |    2 |  81
 7386 |   23 | rateus-pl |   1 |    3 |  90
 7387 |   23 | rateus-pl |   1 |    0 |   0
 7387 |   23 | rateus-pl |   1 |    4 |   0
 7387 |   23 | rateus-pl |   1 |    3 |   1
 7387 |   23 | rateus-pl |   1 |    2 |   0
 7387 |   23 | rateus-pl |   1 |    1 |  31
 7388 |   23 | rateus-pl |   0 |    0 |   2
