   qid    | sid  | stid | category 
 xjsgN9se | 6899 |   23 | COM
 baNSPQ6x | 7715 |   23 | HOP
 Qi9rP8Fo | 7384 |   23 | other
 LsHquc6L | 7357 |   23 | NEU
 CY77MTDZ | 7035 |   23 | other
 RSztVSZH | 7008 |   23 | HOP
 ZuTxPxJS | 7274 |   23 | other
 8CV5Ehqq | 7515 |   23 | other
 CqYd6iod | 7158 |   23 | other
 Cd5KyHQ2 | 7143 |   23 | HOP
 cjPjym9b | 7486 |   23 | HOP
 pknm8Vqt | 7381 |   23 | ANG
 qp9pc9Q7 | 7426 |   23 | other
 bbkSYXHa | 7403 |   23 | other
 G65FM8Eo | 7306 |   23 | other
 Q745Fs7p | 7250 |   23 | NEU
 jycTToAp | 7148 |   23 | other
 2Wrv69hL | 6991 |   23 | other
 7TAMXjTP | 7082 |   23 | other
 7iJ3KEpd | 7441 |   23 | COM
 ZuTxPxJS | 7274 |   23 | ANG
 yNqTeBCi | 7217 |   23 | other
 gQtRZTyf | 7595 |   23 | NEU
 oqC5RGYu | 7367 |   23 | other
 e4VRKpD2 | 7599 |   23 | other
 ZeMQcHSj | 7472 |   23 | COM
 897wnt35 | 6896 |   23 | NEU
 LUoQ9mjm | 7764 |   23 | other
 rjKgXhrJ | 7474 |   23 | HOP
 WTkTDK5Y | 6907 |   23 | other
 oCieTpbz | 7531 |   23 | other
 JphiQiwY | 6898 |   23 | other
 oqVfUrSS | 7744 |   23 | COM
 huUoetpE | 7151 |   23 | other
 PEStyDeo | 7069 |   23 | other
 7it4C3XE | 7429 |   23 | COM
 XUPMtKk8 | 7660 |   23 | other
 KWBVWXUU | 7131 |   23 | ANG
 zsM4Xbws | 7594 |   23 | other
 qikZa2QK | 6906 |   23 | other
 mJi5KMfj | 7288 |   23 | other
 zgGcV7ns | 7420 |   23 | other
 3neD6HnQ | 7179 |   23 | COM
 xDQLnwwC | 7178 |   23 | other
 DqbDapyE | 7791 |   23 | NEU
 DpSKEzYc | 7212 |   23 | other
 PQ3KWTaG | 7025 |   23 | ANG
 mfDuytTX | 7009 |   23 | other
 VFEg8YAz | 7405 |   23 | other
 UiRkeGrz | 7386 |   23 | COM
 ra6KE7FB | 7418 |   23 | other
 7QJFrf3w | 7103 |   23 | COM
 bYiVwoSK | 7398 |   23 | NEU
 vVLWRvS5 | 7322 |   23 | other
 Q745Fs7p | 7250 |   23 | other
 8rvx5iti | 7341 |   23 | HOP
 nHYgYqzY | 7287 |   23 | other
 ErdqdLSC | 7167 |   23 | other
 7oZhwRc3 | 7120 |   23 | HOP
 W2z6Q6Wz | 7535 |   23 | NEU
 ZN9Z6yFo | 7057 |   23 | COM
 CZALgWZY | 7523 |   23 | other
 wfLnuBKC | 6901 |   23 | other
 ikqvQCbQ | 6910 |   23 | NEU
 kw3c2eTS | 7516 |   23 | other
 BoCkciZv | 7610 |   23 | ANG
 S4Bxtcp5 | 7552 |   23 | COM
 LY2qFzF7 | 7010 |   23 | other
 dWtNL9iL | 7678 |   23 | other
 rooAFEvU | 7136 |   23 | other
 aPi9Zvbo | 7695 |   23 | HOP
 Ft5FikwC | 6929 |   23 | NEU
 scriFANt | 7337 |   23 | other
 pEuTf8Zg | 7609 |   23 | other
 F9NEojgZ | 7030 |   23 | COM
 w6XbWTe7 | 7475 |   23 | NEU
 hGVCU6sC | 7170 |   23 | other
 raWfZH8X | 7095 |   23 | NEU
 EGt3Ha9R | 7026 |   23 | other
 SVaqbdax | 7517 |   23 | ANG
 WZo4QLRH | 7452 |   23 | other
 a9kvWcq7 | 7361 |   23 | NEU
 sBnYFF34 | 7671 |   23 | other
 ubZVpgWG | 7362 |   23 | COM
 cHRnrdBJ | 7509 |   23 | COM
 6DWm5GJu | 6982 |   23 | other
 Pf6yLP9x | 7036 |   23 | COM
 zJ8VvtrP | 6893 |   23 | COM
 EpwvzJsH | 7435 |   23 | other
 RGpeiTio | 7583 |   23 | HOP
 ziUYat4q | 7702 |   23 | COM
 eajt9oYJ | 7072 |   23 | COM
 nHLrEqpw | 7302 |   23 | other
 pLh4trLw | 7550 |   23 | other
 r45Wuj8z | 7376 |   23 | HOP
 khpiMtnX | 7126 |   23 | NEU
 b6GW2HDC | 6931 |   23 | other
 xnUEWtEV | 7240 |   23 | other
 RNQqauy5 | 6967 |   23 | other
 RtsaF6hs | 7582 |   23 | COM
 rTQL4z2N | 7537 |   23 | ANG
 oCieTpbz | 7531 |   23 | NEU
 sG3MMqDY | 7281 |   23 | other
 R95oWTsA | 6985 |   23 | ANG
 MC9Lrge7 | 7768 |   23 | other
 e4VRKpD2 | 7599 |   23 | NEU
 huKjmCLE | 7286 |   23 | HOP
 GXxbnj2k | 7467 |   23 | other
 ikqvQCbQ | 6910 |   23 | other
 orsSht5M | 6977 |   23 | ANG
 yoRw7gte | 6951 |   23 | other
 CYoYsXJm | 6995 |   23 | other
 huUoetpE | 7151 |   23 | COM
 GfvKmDjg | 6932 |   23 | COM
 GoX4Q3Jq | 7113 |   23 | ANG
 iKwPgVgi | 6919 |   23 | COM
 fYURnLvG | 7014 |   23 | other
 De7r8Y9w | 7055 |   23 | other
 NcHjwhKt | 7448 |   23 | NEU
 8rvx5iti | 7341 |   23 | other
 M3DrqrnK | 7266 |   23 | HOP
 zRrRWLiY | 7265 |   23 | COM
 zgGcV7ns | 7420 |   23 | COM
 wCCJ8fKr | 6964 |   23 | ANG
 KHAomz9u | 7308 |   23 | other
 VHrqivMp | 7617 |   23 | HOP
 iqTzq9PH | 7463 |   23 | ANG
 FpBu9Mkz | 7190 |   23 | other
 fDVhiMBo | 6986 |   23 | HOP
 g5UC8jfM | 7187 |   23 | other
 KdttqXtg | 7608 |   23 | other
 agTAcqko | 7168 |   23 | other
 PoMqzWJC | 7094 |   23 | HOP
 6n6cKm9d | 6924 |   23 | other
 MC9Lrge7 | 7768 |   23 | COM
 iyMCzCzB | 7613 |   23 | other
 qikZa2QK | 6906 |   23 | ANG
 3SqoECnK | 6927 |   23 | HOP
 3nhHmmnH | 7134 |   23 | other
 DTFHAiv4 | 7017 |   23 | ANG
 hHRMGsZg | 6965 |   23 | other
 AknyW6vT | 7816 |   23 | COM
 FAe7f58F | 6992 |   23 | other
 FocX58xu | 6983 |   23 | other
 GUutQBdm | 7497 |   23 | HOP
 VFEg8YAz | 7405 |   23 | NEU
 9KzdkQiu | 7238 |   23 | other
 opTqnVYP | 6961 |   23 | other
 ZyjBincj | 7074 |   23 | other
 yNqTeBCi | 7217 |   23 | COM
 LUoQ9mjm | 7764 |   23 | NEU
 ECReoKXM | 7400 |   23 | other
 GT7h9GZf | 7124 |   23 | HOP
 jCUjxTNg | 7496 |   23 | other
 eajt9oYJ | 7072 |   23 | other
 qeD7k2fn | 7374 |   23 | COM
 ecpfxJEQ | 7093 |   23 | other
 P8bvoL89 | 6990 |   23 | other
 zJ8VvtrP | 6893 |   23 | other
 4kBpMTUi | 7043 |   23 | other
 wEMQxbwD | 7687 |   23 | other
 DqbDapyE | 7791 |   23 | other
 P8bvoL89 | 6990 |   23 | COM
 hHRMGsZg | 6965 |   23 | ANG
 yoRw7gte | 6951 |   23 | ANG
 ZoYSp3Ha | 7371 |   23 | NEU
 P3c2rAqt | 7370 |   23 | NEU
 2VHTARY2 | 7234 |   23 | other
 2adEBKW2 | 7091 |   23 | other
 yRVjV7D2 | 7540 |   23 | other
 9qbeHf2g | 7060 |   23 | NEU
 X9qR5N3s | 7334 |   23 | HOP
 erAirnEF | 7417 |   23 | other
 qYjyT32P | 7545 |   23 | COM
 xKLpzKrx | 7285 |   23 | NEU
 Y8cC4oQz | 7142 |   23 | other
 bsoCsKBX | 7271 |   23 | COM
 PKVvN87W | 7185 |   23 | COM
 r8JXyfCh | 7123 |   23 | COM
 AADF5Ngu | 6981 |   23 | NEU
 gKEnvANP | 7534 |   23 | HOP
 zUVqud6G | 7539 |   23 | COM
 YxANJGbr | 7396 |   23 | other
 iExF8WCr | 7028 |   23 | NEU
 sqbyyFhY | 6959 |   23 | COM
 Y8swe8Ya | 7586 |   23 | other
 H4GetnC5 | 7542 |   23 | ANG
 98ac3CX6 | 7439 |   23 | other
 ErdqdLSC | 7167 |   23 | NEU
 xSGa72Bg | 7541 |   23 | other
 abgpFEVv | 7549 |   23 | HOP
 ubZVpgWG | 7362 |   23 | other
 bTncxU7N | 7129 |   23 | other
 yd8tFJGA | 7201 |   23 | other
 qgBQCq2B | 7787 |   23 | other
 G65FM8Eo | 7306 |   23 | COM
 9uB5LksW | 7259 |   23 | other
 xzK4RTow | 7328 |   23 | other
 PYP6rQKY | 7052 |   23 | ANG
 8EwQnBho | 7469 |   23 | COM
 8XrxH8i4 | 7174 |   23 | COM
 r3JjfGgR | 7039 |   23 | other
 G5YreLGP | 6934 |   23 | ANG
 mJi5KMfj | 7288 |   23 | HOP
 iQ5aKcmb | 7223 |   23 | NEU
 5un4ty5c | 7292 |   23 | COM
 KyqiNehN | 6957 |   23 | other
 HRFxhseg | 7471 |   23 | COM
 yakq6nqx | 7272 |   23 | ANG
 4ANEa7xK | 7204 |   23 | other
 poPvXviP | 7703 |   23 | other
 xdfrYn63 | 7598 |   23 | HOP
 nRFqM6DD | 7191 |   23 | HOP
 KJUUqhjp | 7700 |   23 | other
 oGpWsYjK | 6914 |   23 | ANG
 TLMtJrMZ | 7137 |   23 | other
 jovy6fRJ | 7000 |   23 | NEU
 d84mwqxq | 7097 |   23 | COM
 3dUVdG9d | 7186 |   23 | other
 8vEs259K | 7181 |   23 | other
 uw3YL8EB | 6999 |   23 | HOP
 itSoQwtD | 6954 |   23 | other
 uiWXAi4H | 7064 |   23 | other
 BuWndEw8 | 7024 |   23 | NEU
 VZ77rS9u | 7591 |   23 | other
 7zcvRLd8 | 7679 |   23 | COM
 j6TpcAqe | 7324 |   23 | other
 YM73ykhH | 7584 |   23 | other
 k9Cnfthu | 7193 |   23 | other
 huffJDgC | 7121 |   23 | NEU
 MiyGW3V6 | 7782 |   23 | ANG
 Mb295gEn | 7412 |   23 | other
 URAJRaNZ | 7198 |   23 | ANG
 AzikHNaH | 7165 |   23 | other
 3HSmHmz2 | 7141 |   23 | COM
 Gm7q2hrz | 7480 |   23 | ANG
 nHYgYqzY | 7287 |   23 | HOP
 WZkdrmzb | 7172 |   23 | COM
 WAxPkk8E | 7145 |   23 | other
 kBfPZQh3 | 6987 |   23 | COM
 QWfraXC3 | 7765 |   23 | ANG
 NcHjwhKt | 7448 |   23 | other
 hsYB7PsE | 7442 |   23 | other
 69Ge6k3j | 7289 |   23 | HOP
 yRVjV7D2 | 7540 |   23 | NEU
 hZqSoiHC | 7253 |   23 | other
 9KzdkQiu | 7238 |   23 | HOP
 Vgm7NaN6 | 7195 |   23 | other
 NA3bzWAv | 7639 |   23 | other
 wAtsr98q | 6988 |   23 | NEU
 8CV5Ehqq | 7515 |   23 | NEU
 4rbnQhxH | 7051 |   23 | NEU
 HNXsQcMN | 7100 |   23 | other
 d84mwqxq | 7097 |   23 | other
 Ft5FikwC | 6929 |   23 | other
 Ev9JNoJD | 7772 |   23 | HOP
 kBfPZQh3 | 6987 |   23 | other
 y4RPv6id | 7447 |   23 | other
 KyCyb545 | 7345 |   23 | ANG
 ik9x6VHE | 6900 |   23 | other
 hzE4axa7 | 7351 |   23 | COM
 PKsJDt8v | 7587 |   23 | NEU
 F9NEojgZ | 7030 |   23 | other
 67zUmyPx | 7019 |   23 | COM
 fNEi56Qv | 7513 |   23 | other
 P4i3GBa8 | 7206 |   23 | ANG
 HRFxhseg | 7471 |   23 | other
 vYWFmepc | 7319 |   23 | COM
 K7jgMHUT | 7579 |   23 | other
 wQREC73n | 7666 |   23 | other
 MDiprAeT | 7333 |   23 | other
 ub34o52h | 7730 |   23 | COM
 gQtRZTyf | 7595 |   23 | other
 t7XPwv2V | 7352 |   23 | other
 SBEAk6pu | 7012 |   23 | NEU
 gpuWK3J4 | 7354 |   23 | NEU
 eoAnMYJA | 7320 |   23 | other
 3om5P3h7 | 6989 |   23 | ANG
 aptiYW8s | 7245 |   23 | ANG
 xKLpzKrx | 7285 |   23 | other
 ru8XJvU4 | 7427 |   23 | COM
 HgEdwvUM | 7331 |   23 | COM
 EvZrb4je | 7156 |   23 | NEU
 2ndSLXKG | 7502 |   23 | ANG
 95QdXoHH | 6956 |   23 | other
 ejszLqMP | 7023 |   23 | other
 idkgHfm6 | 7399 |   23 | other
 bbkSYXHa | 7403 |   23 | HOP
 qeD7k2fn | 7374 |   23 | other
 w6XbWTe7 | 7475 |   23 | other
 Koh3Nfqq | 7018 |   23 | COM
 QWfraXC3 | 7765 |   23 | other
 gQWBigj9 | 7258 |   23 | other
 khC7z8vu | 7312 |   23 | other
 PYP6rQKY | 7052 |   23 | other
 URAJRaNZ | 7198 |   23 | other
 mfDuytTX | 7009 |   23 | ANG
 xfC3VhGZ | 7373 |   23 | ANG
 E5ki7vQe | 7740 |   23 | NEU
 oGRcnDUX | 7031 |   23 | HOP
 LoSRiGk7 | 7189 |   23 | other
 6GsjdD6b | 6935 |   23 | other
 xBKM46sF | 7368 |   23 | HOP
 bsoCsKBX | 7271 |   23 | other
 Dfzp5U7j | 7040 |   23 | ANG
 pM8PPU4p | 6963 |   23 | other
 L82PLSDD | 7041 |   23 | COM
 n6rPwgKT | 7507 |   23 | other
 KtNyCX5J | 7326 |   23 | COM
 kpQ64zcy | 7264 |   23 | other
 dd43U8oh | 7410 |   23 | other
 up3jtgPj | 7105 |   23 | NEU
 qUeV5DPC | 7451 |   23 | COM
 GNZSDtnw | 7332 |   23 | COM
 xjsgN9se | 6899 |   23 | other
 eMpP8EWP | 7510 |   23 | other
 zNzuNXEt | 7116 |   23 | HOP
 7QJFrf3w | 7103 |   23 | other
 GWnkaPff | 7795 |   23 | other
 BecHaDGK | 7409 |   23 | ANG
 vtsXoGHw | 7335 |   23 | ANG
 J8AH2AUM | 7122 |   23 | other
 ECReoKXM | 7400 |   23 | COM
 ZoYSp3Ha | 7371 |   23 | other
 QSZfCKPY | 7321 |   23 | ANG
 tBqyJqMq | 7133 |   23 | HOP
 v9hTQrj7 | 7047 |   23 | NEU
 pMkAszx7 | 7169 |   23 | HOP
 3SqoECnK | 6927 |   23 | other
 W2z6Q6Wz | 7535 |   23 | other
 BZh79jZF | 7311 |   23 | ANG
 wfLnuBKC | 6901 |   23 | HOP
 rooAFEvU | 7136 |   23 | COM
 YAEHNnMX | 7430 |   23 | other
 x9JB2aSu | 7604 |   23 | COM
 897wnt35 | 6896 |   23 | other
 ZFAXoVx4 | 6979 |   23 | other
 bqyfvVo4 | 7085 |   23 | other
 RmAqn6K3 | 7680 |   23 | other
 hZqSoiHC | 7253 |   23 | COM
 RjHvjNcT | 7533 |   23 | HOP
 gppHRV6T | 7819 |   23 | HOP
 Lu3DMaD4 | 7573 |   23 | COM
 S8VjCZyD | 7309 |   23 | other
 NakpeAEW | 6993 |   23 | ANG
 pJ2coAKu | 6950 |   23 | NEU
 2tUa8JmQ | 7146 |   23 | other
 rB6ZUMHg | 7101 |   23 | ANG
 tGErov6s | 7059 |   23 | ANG
 ejszLqMP | 7023 |   23 | HOP
 vgyM5Vhe | 6917 |   23 | other
 W4Y4QPsK | 7468 |   23 | COM
 UMQuzgFj | 7295 |   23 | ANG
 v9hTQrj7 | 7047 |   23 | other
 q9QBa7JC | 7488 |   23 | NEU
 vUzNssjh | 7605 |   23 | HOP
 6ygnibAE | 7392 |   23 | other
 8WgB5YVU | 6889 |   23 | other
 4L3rDzpa | 7342 |   23 | COM
 pkXHZqne | 7248 |   23 | other
 6ygnibAE | 7392 |   23 | HOP
 N2JJLtTw | 7725 |   23 | ANG
 HJK8TXN9 | 7303 |   23 | NEU
 76ZLBGhG | 7378 |   23 | NEU
 yWgAqvLe | 7070 |   23 | ANG
 Wvx4wkUK | 6895 |   23 | HOP
 C4F9ZWbq | 7473 |   23 | other
 N2JJLtTw | 7725 |   23 | other
 VJXQERZs | 7798 |   23 | other
